model,stratum_dimension,stratum_value,eligible_event_count,song_count,top1_accuracy,top3_accuracy,mrr
global_frequency,transition_type,continuation,25404,1045,0.149347,0.361518,0.334052
global_frequency,transition_type,switch,26112,1057,0.136566,0.328968,0.304604
global_frequency,prior_run_bucket,1,29534,1063,0.144004,0.340828,0.315348
global_frequency,prior_run_bucket,2,10801,1036,0.141005,0.339598,0.318038
global_frequency,prior_run_bucket,3,5012,969,0.142458,0.348164,0.325913
global_frequency,prior_run_bucket,4_plus,6169,830,0.141028,0.372021,0.333598
global_frequency,position_bucket,opening_2_to_4,15504,1062,0.140544,0.339332,0.314704
global_frequency,position_bucket,developing_5_to_12,17660,1004,0.143658,0.343545,0.31953
global_frequency,position_bucket,later_13_plus,18352,739,0.144071,0.351242,0.322472
global_frequency,target_is_repeat_within_label_song,False,42456,1064,0.143867,0.346806,0.320309
global_frequency,target_is_repeat_within_label_song,True,9060,793,0.13819,0.336645,0.313581
first_order_markov,transition_type,continuation,25404,1045,0.989883,1.0,0.994942
first_order_markov,transition_type,switch,26112,1057,0.012102,0.307215,0.232528
first_order_markov,prior_run_bucket,1,29534,1063,0.423207,0.60256,0.553842
first_order_markov,prior_run_bucket,2,10801,1036,0.527359,0.664198,0.633235
first_order_markov,prior_run_bucket,3,5012,969,0.724062,0.817039,0.789623
first_order_markov,prior_run_bucket,4_plus,6169,830,0.589885,0.706922,0.679676
first_order_markov,position_bucket,opening_2_to_4,15504,1062,0.530508,0.680792,0.638088
first_order_markov,position_bucket,developing_5_to_12,17660,1004,0.476274,0.635617,0.594086
first_order_markov,position_bucket,later_13_plus,18352,739,0.480983,0.63459,0.597362
first_order_markov,target_is_repeat_within_label_song,False,42456,1064,0.486197,0.642053,0.601976
first_order_markov,target_is_repeat_within_label_song,True,9060,793,0.532119,0.680684,0.639048
flat_sgd_logistic_context,transition_type,continuation,25404,1045,0.972839,1.0,0.986026
flat_sgd_logistic_context,transition_type,switch,26112,1057,0.032054,0.401042,0.278801
flat_sgd_logistic_context,prior_run_bucket,1,29534,1063,0.425002,0.67986,0.58513
flat_sgd_logistic_context,prior_run_bucket,2,10801,1036,0.527359,0.675863,0.635844
flat_sgd_logistic_context,prior_run_bucket,3,5012,969,0.725658,0.820431,0.792544
flat_sgd_logistic_context,prior_run_bucket,4_plus,6169,830,0.594262,0.710812,0.682096
flat_sgd_logistic_context,position_bucket,opening_2_to_4,15504,1062,0.533927,0.717879,0.654555
flat_sgd_logistic_context,position_bucket,developing_5_to_12,17660,1004,0.477237,0.686183,0.614436
flat_sgd_logistic_context,position_bucket,later_13_plus,18352,739,0.481964,0.688099,0.617366
flat_sgd_logistic_context,target_is_repeat_within_label_song,False,42456,1064,0.487328,0.684356,0.618489
flat_sgd_logistic_context,target_is_repeat_within_label_song,True,9060,793,0.536534,0.75287,0.670033
hierarchical_sgd_context,transition_type,continuation,25404,1045,0.982916,0.999961,0.991356
hierarchical_sgd_context,transition_type,switch,26112,1057,0.027382,0.403608,0.277457
hierarchical_sgd_context,prior_run_bucket,1,29534,1063,0.428726,0.681316,0.587539
hierarchical_sgd_context,prior_run_bucket,2,10801,1036,0.528747,0.676419,0.637396
hierarchical_sgd_context,prior_run_bucket,3,5012,969,0.727853,0.822825,0.794372
hierarchical_sgd_context,prior_run_bucket,4_plus,6169,830,0.593937,0.711623,0.682624
hierarchical_sgd_context,position_bucket,opening_2_to_4,15504,1062,0.535475,0.717944,0.655425
hierarchical_sgd_context,position_bucket,developing_5_to_12,17660,1004,0.480181,0.688448,0.61682
hierarchical_sgd_context,position_bucket,later_13_plus,18352,739,0.485124,0.689462,0.619804
hierarchical_sgd_context,target_is_repeat_within_label_song,False,42456,1064,0.490484,0.684874,0.620577
hierarchical_sgd_context,target_is_repeat_within_label_song,True,9060,793,0.536534,0.757726,0.671321
hierarchical_sgd_no_source_label,transition_type,continuation,25404,1045,0.982089,1.0,0.990979
hierarchical_sgd_no_source_label,transition_type,switch,26112,1057,0.027497,0.403186,0.277063
hierarchical_sgd_no_source_label,prior_run_bucket,1,29534,1063,0.427947,0.680572,0.586922
hierarchical_sgd_no_source_label,prior_run_bucket,2,10801,1036,0.529025,0.676326,0.637199
hierarchical_sgd_no_source_label,prior_run_bucket,3,5012,969,0.727853,0.821628,0.794026
hierarchical_sgd_no_source_label,prior_run_bucket,4_plus,6169,830,0.594262,0.714703,0.682981
hierarchical_sgd_no_source_label,position_bucket,opening_2_to_4,15504,1062,0.535152,0.717299,0.655048
hierarchical_sgd_no_source_label,position_bucket,developing_5_to_12,17660,1004,0.480068,0.688618,0.616788
hierarchical_sgd_no_source_label,position_bucket,later_13_plus,18352,739,0.484525,0.689298,0.61907
hierarchical_sgd_no_source_label,target_is_repeat_within_label_song,False,42456,1064,0.490084,0.684827,0.620133
hierarchical_sgd_no_source_label,target_is_repeat_within_label_song,True,9060,793,0.536424,0.756843,0.671207
